image_id class_id path
2 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/5a127a43-ba12-447b-b0d9-ef42118e31b8.jpg
3 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/40af52d3-49ff-4f7a-aa50-410ccba1e415.jpg
5 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/352c7a93-73cf-47b7-bccb-1cf63f3207b3.jpg
6 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/94a49b83-7996-47b3-a2da-9adec5800631.jpg
7 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/7c62e696-e09a-42fa-9800-d4d93b54d71c.jpg
9 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/c3c3fa51-a719-4a07-a600-a65fbf2ab3a2.jpg
11 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/c7eb86b7-1b60-4d9c-8fde-05631775d5e5.jpg
12 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/83768c6c-c609-4891-8217-0e6c83dd1dce.jpg
13 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/902c29c7-bbb1-4759-b510-d48bf90c4dfa.jpg
14 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/f5309d01-a700-483b-a19a-4a2ce2762571.jpg
16 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/f31d1e2c-cb2e-4b5f-9365-32729990f57a.jpg
17 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/3f538692-ad90-4096-b3c4-7a54f1c3f9c7.jpg
18 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/9dbecd6a-2f1b-43ce-bf69-bcb16fe41a5f.jpg
19 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/fbb21e97-88ad-45cd-ae60-56ae65ddf512.jpg
20 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/32212e50-edc8-4598-8260-c17491cd32e4.jpg
21 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/057b8126-e512-48c3-9aec-338c651dec44.jpg
22 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/c9a7fe48-37fb-438a-a67c-04ebdcb50d0b.jpg
24 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/62e2b356-ce05-4d35-8113-c1afb28f76a9.jpg
26 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/50df27ca-e259-49f3-8b0a-6c5e9283a9e7.jpg
27 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/f04b1358-4547-4f3c-ab89-b9106833840f.jpg
28 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/f67a8d2d-0bde-4a3d-be26-823c4bbfccc1.jpg
29 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/99a4a97f-adc4-462f-be8b-a30826c6c7c4.jpg
30 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/4572c64e-31bb-4375-8a2b-566f493e849c.jpg
31 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/d21d3a03-302f-49f4-95e1-e5f01f60abcd.jpg
32 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/a991fa19-8d0a-4be6-904c-1760db4260ba.jpg
33 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/1dd5282a-3d1b-4d45-a187-22340a48cb9a.jpg
34 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/5f7913bf-0c63-4897-88d4-56fc98fb57be.jpg
35 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/ada344d6-142f-4eb9-a72d-823dad100eb4.jpg
42 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/8f0e1659-9441-4f6a-ba63-d9fbb4ac5b50.jpg
43 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/218a1bfb-4991-40e4-a65b-69ba84b69d85.jpg
44 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/39ce4472-e714-4833-b04b-b95e5b6f8c04.jpg
45 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/d7eaa92e-cdd5-416d-829c-b3742b54427a.jpg
46 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/06aca135-4ddd-49d7-9d08-291f3cd77bce.jpg
48 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/d6f6753e-6c90-4c70-a0cf-a5bbb2d8c51b.jpg
50 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/543ee79d-8735-4143-83ca-808ad4f4c53e.jpg
52 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/86a77116-57af-4560-90e4-44f6ab099876.jpg
53 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/1d970438-1b05-4953-a61f-d0765c255331.jpg
54 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/19f6de9d-a26a-4008-a928-aaf37aa21d35.jpg
55 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/e54e5158-f5f2-4ff4-893b-35a655f9685a.jpg
56 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/fc4fae9d-1a41-46a8-9a5e-cb19b6b7f516.jpg
58 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/f6c417fb-8e0a-4c61-a2eb-2e05b1b874a7.jpg
61 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/9eaa876d-e21f-4965-b937-001210013633.jpg
63 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/41fdeac6-6f14-44a7-a4dd-926ca97dac96.jpg
64 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/be49b2a3-166e-41dc-8ef7-68f424308bfc.jpg
65 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/02a0d381-ff37-4995-a900-98c00950c0d2.jpg
66 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/54409368-d603-4bde-a89b-34eb8da3a82d.jpg
68 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/01b0cbaa-28ef-436f-b400-4220cbc56659.jpg
71 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/7ad19733-ef05-442c-a82a-5890274092a3.jpg
72 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/8706f3b6-c0c2-4fd2-8d4b-c4fd41720205.jpg
73 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/0b2583fe-96cd-4837-ac45-f8221aaf9709.jpg
74 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/db8fe309-f2e6-467d-9de4-c6e6ea5102c2.jpg
76 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/81cb77bb-01db-49a5-93c0-302978031e50.jpg
77 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/d2ee565d-064d-4e74-963f-120fccc81cb5.jpg
78 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/6562e628-52d4-45a0-8feb-39045a825ca4.jpg
79 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/9baeb6b6-e923-422b-b2f0-f630be73acc2.jpg
80 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/2759e11f-1e61-4b5f-b4e8-eb4b88b90273.jpg
81 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/9a0fa1b4-602e-4b49-ba7a-97638398c471.jpg
83 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/d222972c-f6c0-413c-82e1-7f83c06fe2d7.jpg
84 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/4f1f66d0-97a7-4f46-b00a-605c83ab7e9b.jpg
85 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/a0b3d420-564f-4bca-9569-eb0c93488535.jpg
86 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/06141be1-4978-4c9f-a1ba-5a340c0b8635.jpg
87 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/a6b4c06b-bfb3-4fdd-98ef-5e164b181f1d.jpg
88 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/f8775dfe-da17-4120-b8b9-1b6b3b4620af.jpg
90 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/b33e36d5-cbca-4d4f-b7c2-76cbec746d2c.jpg
91 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/31264b37-fe46-46d9-b25e-fcad0c3d9c0a.jpg
95 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/bc59d381-cc22-424d-bce5-12275fc4a0e1.jpg
97 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/a74aebfd-c7ce-483f-b5f3-e997fd0f427d.jpg
99 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/dd48c6ab-1adf-46c3-8250-d7db2711bacf.jpg
100 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/e48b8aa7-1d96-4ea8-8e59-c79797a20487.jpg
101 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/614e2b9a-cb25-4f29-b12b-9e4dc32125fe.jpg
102 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/0ec652c6-4f20-40b8-878a-dbc264dbe841.jpg
103 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/7fc43662-e821-4d37-9e63-b8f388977e5a.jpg
104 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/dccc44ca-5053-47f7-a84b-76db44fd4ef6.jpg
105 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/2f12ff60-54f5-4872-a406-b71f82082c07.jpg
107 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/a4b9d94c-4b02-49a7-959e-890f450997d4.jpg
108 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/0e552c1c-a6bb-4d11-8f16-547f75d91080.jpg
109 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/88b2da5c-3084-4a72-b009-90169db0b5e6.jpg
110 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/08ea8e1f-e5db-4582-b693-9266818e8500.jpg
111 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/267c04f2-7b71-4087-ace6-95fca9c6bdc5.jpg
112 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/e9c0b463-42d1-4af3-8196-43ada256f449.jpg
113 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/41f114fd-c620-494b-beef-6d294686c4b9.jpg
114 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/6842420c-2545-40e7-ae50-11e6adc2fa94.jpg
115 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/8e1d84f7-9c4a-4e4a-8d3e-cb2420fac2ad.jpg
116 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/eb084a68-87c2-4078-aac6-248386b625eb.jpg
117 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/f6854054-5bd0-403e-ac7f-76e851ff8ae2.jpg
119 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/e14a8433-fc6a-415a-bd8c-dea2b695b95f.jpg
120 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/121a4b37-1ae0-4db7-8dc2-c07d18c8257d.jpg
121 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/e583c58f-aed2-415e-8115-52475c1d3f85.jpg
122 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/82941ddb-f1b0-4ef7-a29e-705920938f6b.jpg
123 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/efa1149e-c921-4868-ba00-0f77d4f85bc8.jpg
124 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/00b55eda-6725-4e04-a260-4fe9e55f5314.jpg
125 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/485305df-5e72-4d5a-a683-19046c84de59.jpg
127 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/a1a22347-85ee-4bbc-9083-cbe6195d155f.jpg
128 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/7e0c7abf-3e2b-404f-9be2-d52814c0c4a0.jpg
130 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/c8e4d9a4-9eec-42d2-922c-7a5b461d95aa.jpg
131 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/e263009e-5e98-48b8-8e4c-b23975d2816a.jpg
132 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/8ad6979e-7134-455a-90a8-f2defc6b2036.jpg
133 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/51740d38-923d-421b-a672-18feb80fdb6f.jpg
135 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/23a90846-67a4-4dd2-8e46-df67c2a8eae3.jpg
137 1 labeled-images/upper-gi-tract/anatomical-landmarks/z-line/11df432f-6e22-4110-9f00-c984ea1de003.jpg
